age,pop.male,pop.female
0,44907.2,42245.3
1,44907.2,42245.3
2,44907.2,42245.3
3,44907.2,42245.3
4,44907.2,42245.3
5,49567.2,47573.3
6,49567.2,47573.3
7,49567.2,47573.3
8,49567.2,47573.3
9,49567.2,47573.3
10,53757.8,51281.2
11,53757.8,51281.2
12,53757.8,51281.2
13,53757.8,51281.2
14,53757.8,51281.2
15,54754.7,54288.9
16,54754.7,54288.9
17,54754.7,54288.9
18,54754.7,54288.9
19,54754.7,54288.9
20,53359.4,54585.9
21,53359.4,54585.9
22,53359.4,54585.9
23,53359.4,54585.9
24,53359.4,54585.9
25,54855.3,57229.9
26,54855.3,57229.9
27,54855.3,57229.9
28,54855.3,57229.9
29,54855.3,57229.9
30,63000.8,66485.8
31,63000.8,66485.8
32,63000.8,66485.8
33,63000.8,66485.8
34,63000.8,66485.8
35,73599.8,78537.2
36,73599.8,78537.2
37,73599.8,78537.2
38,73599.8,78537.2
39,73599.8,78537.2
40,79034.8,84604.0
41,79034.8,84604.0
42,79034.8,84604.0
43,79034.8,84604.0
44,79034.8,84604.0
45,72832.7,78931.7
46,72832.7,78931.7
47,72832.7,78931.7
48,72832.7,78931.7
49,72832.7,78931.7
50,71687.1,79097.8
51,71687.1,79097.8
52,71687.1,79097.8
53,71687.1,79097.8
54,71687.1,79097.8
55,65732.3,73715.9
56,65732.3,73715.9
57,65732.3,73715.9
58,65732.3,73715.9
59,65732.3,73715.9
60,60528.0,69400.7
61,60528.0,69400.7
62,60528.0,69400.7
63,60528.0,69400.7
64,60528.0,69400.7
65,55751.0,65899.0
66,55751.0,65899.0
67,55751.0,65899.0
68,55751.0,65899.0
69,55751.0,65899.0
70,45056.9,56847.9
71,45056.9,56847.9
72,45056.9,56847.9
73,45056.9,56847.9
74,45056.9,56847.9
75,36788.5,50419.3
76,36788.5,50419.3
77,36788.5,50419.3
78,36788.5,50419.3
79,36788.5,50419.3
80,26747.0,41778.0
81,26747.0,41778.0
82,26747.0,41778.0
83,26747.0,41778.0
84,26747.0,41778.0
85,12609.6,24625.0
86,12609.6,24625.0
87,12609.6,24625.0
88,12609.6,24625.0
89,12609.6,24625.0
90,4182.7,9899.5
91,4182.7,9899.5
92,4182.7,9899.5
93,4182.7,9899.5
94,4182.7,9899.5
95,688.5,2177.1
96,688.5,2177.1
97,688.5,2177.1
98,688.5,2177.1
99,688.5,2177.1
100,291.0,1328.5
