age_range,pop.male,pop.female
0-4,517630,489652
5-9,506381,480772
10-14,514937,491040
15-19,510141,488979
20-24,497149,478756
25-29,495760,485209
30-34,567114,559740
35-39,656130,642223
40-44,671862,651445
45-49,620883,605368
50-54,564942,558660
55-59,576991,566433
60-64,446412,439774
65-69,345512,357534
70-74,276578,319495
75-79,194847,268101
80-84,121017,215139
85-89,51753,122202
90-94,15659,51801
95-99,2647,12004
100+,219,1200
