age_range,pop.male,pop.female
0-4,224536,211226.5
5-9,247836,237866.5
10-14,268789,256406
15-19,273773.5,271444.5
20-24,266797,272929.5
25-29,274276.5,286149.5
30-34,315004,332429
35-39,367999,392686
40-44,395174,423020
45-49,364163.5,394658.5
50-54,358435.5,395489
55-59,328661.5,368579.5
60-64,302640,347003.5
65-69,278755,329495
70-74,225284.5,284239.5
75-79,183942.5,252096.5
80-84,133735,208890
85-89,63048,123125
90-94,20913.5,49497.5
95-99,3442.5,10885.5
100+,291,1328.5
