age_range,pop.male,pop.female
0-4,75015,71164
5-9,93457,88539
10-14,85517,82193
15-19,105656,99925
20-24,107699,101744
25-29,107907,102800
30-34,124716,119833
35-39,119120,115842
40-44,115359,111643
45-49,115120,114351
50-54,127018,134636
55-59,125821,135266
60-64,116820,126508
65-69,85839,100842
70-74,52348,71233
75-79,45390,68442
80-84,25854,39090
85-89,9618,15256
90-94,3577,8199
95-99,387,1627
100+,34,129
