age_range,pop.male,pop.female
0-4,5757744,5506347
5-9,5699248,5446905
10-14,5735567,5530126
15-19,5586386,5474669
20-24,5514205,5472815
25-29,4939208,5148037
30-34,4476367,4826953
35-39,4146847,4580225
40-44,3928631,4348943
45-49,3436374,3863846
50-54,2954871,3283651
55-59,2409434,2708095
60-64,1910456,2170281
65-69,1374833,1575253
70-74,1002859,1164741
75-79,665094,816338
80-84,416133,559490
85-89,229945,336219
90-94,100240,153659
95-99,26518,43826
100+,4399,7601
