age_range,pop.male,pop.female
0-4,464491,439827
5-9,514827,487252
10-14,510465,484570
15-19,522331,498728
20-24,527528,510399
25-29,513220,499607
30-34,500903,492218
35-39,563481,558866
40-44,645678,636322
45-49,661333,644460
50-54,609801,596934
55-59,548903,546838
60-64,550807,548859
65-69,415098,420692
70-74,307437,334668
75-79,227089,285545
80-84,138804,217909
85-89,67750,144684
90-94,20148,60401
95-99,3225,14350
100+,265,1478
