age_range,pop.male,pop.female
0-4,459255,435205
5-9,490017,463813
10-14,520434,493211
15-19,517973,493740
20-24,540161,519999
25-29,532736,519006
30-34,506326,496763
35-39,512382,509622
40-44,593292,591952
45-49,654941,644401
50-54,637364,621514
55-59,571793,565457
60-64,525662,529139
65-69,494185,500729
70-74,334068,355741
75-79,244061,292756
80-84,156328,229647
85-89,74121,145725
90-94,25086,69647
95-99,4511,17683
100+,316,1755
