group_code,food_group,cod_item,food_description
03,Verduras,6700901,REPOLHO
03,Verduras,6709701,OREGANO
03,Verduras,6701501,ACELGA
03,Verduras,6401601,ACAFRAO
03,Verduras,7002601,COENTRO
03,Verduras,6702105,JAMBU
03,Verduras,7002304,HORTELA
03,Verduras,6702001,RUCULA
03,Verduras,6701704,BROCOLIS
03,Verduras,6700601,COUVE FLOR
03,Verduras,6703101,BROTO DE FEIJAO
03,Verduras,6701602,RADITE
03,Verduras,6701601,ALMEIRAO
03,Verduras,6701101,CEBOLINHA
03,Verduras,8511102,SALADA DE RUCULA E TOMATE SECO
03,Verduras,6701301,AGRIAO
03,Verduras,6706301,ALHO PORO
03,Verduras,6700904,REPOLHO VERDE
03,Verduras,6700301,CHICORIA
03,Verduras,6700304,ESCAROLA
03,Verduras,6700701,ESPINAFRE
03,Verduras,6700801,MOSTARDA (VERDURA)
03,Verduras,6700903,REPOLHO ROXO
03,Verduras,6701401,TAIOBA
03,Verduras,8510401,SALADA CAESER / CESAR / CISER / CEASER
03,Verduras,6707301,BROTO DE ALFAFA
03,Verduras,6710701,ORA-PRO-NOBIS
03,Verduras,6701906,CUXA
03,Verduras,6701801,SERRALHA
03,Verduras,6701907,VINAGREIRA
03,Verduras,6709901,ASPARGOS FRESCO
03,Verduras,7700902,CHUCRUTE
03,Verduras,8510501,SALADA DE AIPO COM MACA
03,Verduras,6706001,NIRA
03,Verduras,6700305,ENDIVIA
03,Verduras,6701505,BETERRABA BRANCA (ACELGA)
03,Verduras,6702701,COUVE CHINESA
03,Verduras,6701913,CARIRU
03,Verduras,6710101,MASTRUZ
03,Verduras,6700201,BERTALHA
03,Verduras,6711001,VEGETAIS FOLHOSOS NAO ESPECIFICADOS
03,Verduras,7700901,REPOLHO EM CONSERVA
03,Verduras,6711401,ALGAS
03,Verduras,6702501,BREDO
03,Verduras,6702201,LINGUA DE VACA (VERDURA)
03,Verduras,6702604,SALSAO (AIPO)
03,Verduras,6711201,ALCAPARRAS
04,Legumes,8511701,SALADA DE LEGUMES E VERDURAS
04,Legumes,6705401,BERINJELA / BERINGELA
04,Legumes,6703901,ABOBORA
04,Legumes,8511201,SALADA DE LEGUMES
04,Legumes,6401201,CENOURA
04,Legumes,6705701,CEBOLA
04,Legumes,6705101,TOMATE
04,Legumes,6704001,PEPINO
04,Legumes,7703701,PEPINO EM CONSERVA
04,Legumes,6601805,PUPUNHA
04,Legumes,6704201,JILO
04,Legumes,8579131,CREME DE CENOURA
04,Legumes,6703805,JERIMUM
04,Legumes,6703701,ABOBRINHA
04,Legumes,6705301,COGUMELO IN NATURA
04,Legumes,7704001,PICLES
04,Legumes,6705201,VAGEM
04,Legumes,6704601,PIMENTA MALAGUETA
04,Legumes,6704101,CHUCHU
04,Legumes,6705001,QUIABO
04,Legumes,6704501,PIMENTAO
04,Legumes,8506701,QUIBEBE
04,Legumes,7700501,PALMITO EM CONSERVA
04,Legumes,7701101,LEGUME NAO ESPECIFICADO EM CONSERVA
04,Legumes,6703306,MORANGA
04,Legumes,7700601,COGUMELO EM CONSERVA
04,Legumes,6503502,PURE DE ABOBORA / JERIMUM / GERIMUM
04,Legumes,6706201,ALHO
04,Legumes,6704301,MAXIXE
04,Legumes,8578404,ABOBORA COM QUIABO
04,Legumes,8579244,REFOGADINHO DE LEGUMES
04,Legumes,8580301,"SALADA DE LEGUMES, VERDURAS E FRUTAS"
04,Legumes,6704409,GUARIROBA (PALMITO IN NATURA)
04,Legumes,6704401,PALMITO IN NATURA
04,Legumes,6706102,SELETA (JARDINEIRA)
04,Legumes,8579046,"BATATA, CENOURA E CHUCHU"
04,Legumes,8579130,CREME DE ABOBORA COM CARNE
04,Legumes,8579170,LEGUMES GRATINADOS
04,Legumes,8579237,QUIBE VEGETARIANO
04,Legumes,6703707,CAXI
04,Legumes,6711101,VEGETAIS NAO ESPECIFICADOS
04,Legumes,6704106,CHUCHU AO FORNO
04,Legumes,7700602,CHAMPIGNON EM CONSERVA
04,Legumes,7080401,CONSERVA DE BERINJELA
04,Legumes,8579136,ENSOPADINHO DE LEGUMES
04,Legumes,8579243,RATATOUILLE
04,Legumes,6704410,GUEROBA / GUEIROBA (PALMITO IN NATURA)
04,Legumes,6704306,PEPININHO (MAXIXE)
04,Legumes,7705201,NABO EM CONSERVA
04,Legumes,6705704,CEBOLA ROXA
04,Legumes,8579092,CAPONATA DE BERINJELA
