ingr_descr_eng,foodex2_ingr_code,ingr_code
"*Maize flour, white,unrefined*boiled*",A002Q#F28.A07GL$F10.A0F2R$F10.A06HR,1096
"*BREAD,  WHEAT,REFINED FLOUR,(WHITE)SLICES,S",A004Y#F03.A06JA,1037
"*CARBONATED SOFT DRINK,(SODA)",A0EQN,27034
"*TEA LEAVES,(HTBS)",A04KK,27039
"*MILK,COWS MILK,PROCESSED, FULL,FAT,FRESH",A02LX#F10.A166Y,9013
"*SUGAR,GRANULATED,ALL GRADES,RAW,(VOL)",A032H,26010
"*TOMATO,RIPE,FRESH,W SKIN,(MEDIUM),RAW",A0DMX#F10.A166Y$F10.A07XL$F20.A07QQ,29020
"*KALE LEAVES,FRESH,W/O STALKS,RAW",A00GN#F10.A166Y$F20.A07QH,18001
"*VEGETABLE FAT, FORTIFIED,RAW,(HTBS)",A036N#F10.A0F6C$F22.A07SH,25048
"*SALT, IODIZED,(LTBS)",A042R,30137
"*ONION, RED BULB,FRESH,(SMALL),RAW",A0DND#F10.A166Y$F10.A0F2S,29138
"*ARROW ROOT WO/SKIN, VOL,RAW,*STIR FRIED*",A010G#F28.A07GT$F20.A07QR,5041
"*RICE,WHITE,POLISHED,RAW",A003D#F10.A07XK,1027
"*TEA LEAVES,(LTBS)",A04KK,27038
"*MILK,COWS MILK,WHOLE, FRESH, RAW*BOILED*",A02LY#F28.A07GL$F10.A166Y,9002
"*VEGETABLE OIL,SUNFLOWER OIL,RAW,(LTBS)",A037D,25012
"*BEEF, BEEF CUBES,GROUPED,MEDIUM FAT,FRESH, VOL,RAW",A01QX#F10.A166Y$F10.A077B$F03.A06JB,11026
"*CARROTS, FRESH, (MEDIUM),RAW",A00QH#F10.A166Y,29006
"*BEANS,BLACK, DRIED,RAW*BOILED*",A013Z#F28.A07GL$F10.A166Z,6030
"*ONION, RED BULB,FRESH,(MEDIUM),RAW",A0DND#F10.A166Y$F10.A0F2S,29137
"*IRISH POTATOES, FRESH, WEDGES, VOL,RAW,*STIR FRIED*",A00ZT#F28.A07GT$F10.A166Y,5064
"*Salt, iodized,(vol)",A042R,30134
"*Vegetable oil,unspecified brand,raw",A036N#F26.A07XD$F22.A07SH,25001
"*Wheat flour,refined,raw*fried*",A003Y#F28.A07GR,1058
"*MILLET FLOUR, REFINED,RAW",A002T#F10.A07XK,1104
"*AVOCADO,FRESH,RAW",A01LB#F10.A166Y,29024
"*Maize flour, white,refined*boiled*",A002Q#F28.A07GL$F10.A07XK,1098
"*TEA LEAVES,(LTSP)",A04KK,27036
"*SUGAR,GRANULATED,ALL GRADES,RAW,(LTBS)",A032H,26013
"*MILK,COWS MILK,WHOLE, FRESH, RAW",A02LY#F10.A166Y,9001
"*TOMATO,RIPE,FRESH,W SKIN,(SMALL),RAW",A0DMX#F10.A166Y$F10.A07XL$F20.A07QQ,29021
"*VEGETABLE FAT,UNSPECIFIED BRAND,RAW,(VOL)",A036N#F26.A07XD$F22.A07SH,25054
"*ROYCO,POWDER,(LTSP)",A042Z#F04.A042P$F04.A002R$F04.A048A$F03.A06JD,30097
"*CABBAGE,  GREEN,FRESH, VOL,RAW",A00GB#F10.A0F2Q$F10.A166Y,29001
"*SALT, IODIZED,(LTSP)",A042R,30135
"*IRISH POTATO,FRESH, WO/SKIN,WHOLE , (SMALL),RAW",A00ZT#F10.A166Y$F03.A06HY$F20.A07QR,2054
"*PUMPKIN, PUMPKIN SLICES, W/O SKIN, B,(MEDIUM),RAW",A00KH#F10.A166Y$F03.A06JA$F20.A07QR,29033
"*SWEETPOTATOYELLOW,WO/SKIN,FRESH,PIECES,E,(MEDIUM),RAW,*ROASTED*",A010C#F28.A07GY$F10.A166Y$F10.A0F5H$F20.A07QR,4050
"*SOFT FRIED DOUGH, RECTANGLE MANDAZI, F,(SMALL),",A16FY,30212
"*ORANGES, YELLOW TYPE,B, (MEDIUM),FRESH, RAW",A0DZB#F10.A166Y$F10.A0F5H,30060
"*SPINACH LEAVES,FRESH,W/O STALKS,RAW",A00MJ#F10.A166Y$F20.A07QH,18929
"*TOMATO,RIPE,FRESH,W/O SKIN,(SMALL),RAW",A0DMX#F10.A166Y$F10.A07XL$F20.A07QR,29120
"*VEGETABLE OIL,UNSPECIFIED BRAND,RAW,(LTBS)",A036N#F26.A07XD$F22.A07SH,25003
"*IRISH POTATO,FRESH, WO/SKIN,WHOLE ,(MEDIUM),RAW",A00ZT#F10.A166Y$F03.A06HY$F20.A07QR,2053
"*TEA LEAVES,(VOL)",A04KK,27035
"*ONION, RED BULB,FRESH,(LARGE),RAW",A0DND#F10.A166Y$F10.A0F2S,29136
"*BEANS,RED HARICOT,DRIED,RAW*BOILED*",A012X#F28.A07GL$F10.A0F2S,8906
"*MAIZE GRAIN, WHITE,DRIED,WITH SKIN,RAW,*BOILED*",A000T#F28.A07GL$F28.A07KG$F10.A0F2R$F20.A07QQ,1006
"*VEGETABLE FAT,UNSPECIFIED BRAND,RAW,(LTBS)",A036N#F26.A07XD$F22.A07SH,25057
"*BREAD,  WHEAT,REFINED FLOUR,(WHITE)SLICES,M",A004Y#F03.A06JA,1036
"*VEGETABLE OIL ,BIDCO,GOLDEN FRY,RAW,(VOL)",A037N#F22.A07SH,25007
"*TOMATO,RIPE,FRESH,W SKIN,(LARGE),RAW",A0DMX#F10.A166Y$F10.A07XL$F20.A07QQ,29019
"*VEGETABLE FAT,RAW,(HTBS)",A036N,25043
"*AMARANTH ,FRESH,W/O STALKS,RAW",A00ML#F10.A166Y$F20.A07QH,18031
"*TOMATO,RIPE,FRESH,W/O SKIN,(MEDIUM),RAW",A0DMX#F10.A166Y$F10.A07XL$F20.A07QR,29119
"*SALT, IODIZED,(HTBS)",A042R,30138
"*MAIZE GRAIN, WHITE,DRIED,WITH SKIN,RAW",A000T#F28.A07KG$F10.A0F2R$F20.A07QQ,1005
"*IRISH POTATO,FRESH, W/SKIN,WHOLE ,(MEDIUM),RAW",A00ZT#F10.A166Y$F03.A06HY$F20.A07QQ,2043
"*BEANS,KIDNEY BEANS,DRIED,RAW*BOILED*",A012V#F28.A07GL,6122
"*MAIZE ON COB, WHITE, FRESH,(MEDIUM),RAW, *BOILED*",A000T#F28.A07GL$F10.A0F2R$F10.A166Y$F20.A07RE,30184
"*STINGING NETTLE LEAVES,FRESH,W/O STALKS,RAW",A00PA#F10.A166Y$F20.A07QH,18925
"*VEGETABLE FAT,UNSPECIFIED BRAND,RAW,(HTBS)",A036N#F26.A07XD$F22.A07SH,25058
"*Maize flour, white,unrefined*boiled*",A002Q#F28.A07GL$F10.A0F2R$F10.A06HR,1098
"*Rice,white,polished,raw*boiled*",A003D#F28.A07GL$F10.A07XK,1028
"*ONION,SPRING ONOIN,WHOLE STICK,RAW",A00HH#F03.A06HY,29159
"*Sugar,granulated,all grades,raw,(vol)",A032H,26010
"*Milk,cows milk,whole, fresh, raw*boiled*",A02LY#F28.A07GL$F10.A166Y,9002
"*MILLET FLOUR, UNREFINED,RAW",A002T#F10.A06HR,1026
"*BEAN FLOUR,RAW",A185Q#F27.A013H,8908
"*MAIZE FLOUR,WHITE,UNREFINED,RAW",A002Q#F10.A0F2R$F10.A06HR,1023
"*SORGHUM FLOUR,UNREFINED,RAW",A003T#F10.A06HR,1107
"*CAKE,BASIC RECIPE,BAKED(STANDARD)",A00AP,1040
"*PASSION FRUIT,RIPE,FRESH,RAW,(STANDARD)",A01KC#F10.A07XL$F10.A166Y,30012
"*BEEF, MEDIUM FAT, W BONE,FRESH, VOL,RAW *BOILED*",A01QX#F28.A07GL$F10.A166Y$F10.A077B$F20.A07QL,11033
"*COCOA,POWDER,(LTSP)",A03HG,27049
"*IRISH POTATO,FRESH, WO/SKIN,WHOLE,VOL ,RAW",A00ZT#F10.A166Y$F03.A06HY$F20.A07QR,2049
"*ONION,SPRING ONION,TOPS &BULB,RAW",A00HH#F03.A06HY,29071
"*BREAD,  WHOLE WHEAT,(BROWN)SLICES,M",A005E#F03.A06JA,1117
"*BANANA, SWEET BANANA,RIPE (STANDARD)",A0DQM#F10.A07XL,30218
"*RABBIT MEAT,DRIED,RAW",A04MP#F27.A01RQ,16151
"*CARROTS, FRESH, (LARGE)RAW",A00QH#F10.A166Y,29005
"*PEAS,GREEN,FRESH,RAW",A012J#F10.A0F2Q$F10.A166Y,8920
"*SOYA BEAN FLOUR, RAW SOYA BEANS,RAW",A185Q#F27.A0DCH,8913
"*Maize grain,white,fresh,raw,*boiled*",A000T#F28.A07GL$F10.A0F2R$F10.A166Y,1002
"*SOUR MILK,FRESH,RAW",A02NT#F10.A166Y,9010
